FIPS,Population,White,Black,Native,Asian,Pacific_Islander,Other,Multiracial,Percentage_White,Percentage_Black,Percentage_Native,Percentage_Asian,Percentage_Pacific_Islander,Percentage_Other,Percentage_Multiracial,Percentage_Nonwhite,Percent_Hispanic,Percentage_Household_Poverty,Percentage_DifferentHouseOneYearAgo,Percentage_AbroadOneYearAgo,MedianAge_Total,MedianAge_Male,MedianAge_Female
250250001001,1374,642,126,0,322,0,266,18,46.72489083,9.170305677,0,23.43522562,0,19.35953421,1.310043668,53.27510917,22.9985444,22.46777164,3.857350801,0,34.3,40.1,34
250250001002,1042,790,22,0,109,0,121,0,75.81573896,2.111324376,0,10.46065259,0,11.61228407,0,24.18426104,12.18809981,14.32098765,24.47216891,2.879078695,31.4,28.2,32.9
250250001003,498,458,5,0,28,0,0,7,91.96787149,1.004016064,0,5.62248996,0,0,1.40562249,8.032128514,20.88353414,0,9.236947791,2.008032129,31.8,31.3,32.5
250250001004,757,458,25,0,72,0,169,33,60.50198151,3.302509908,0,9.511228534,0,22.32496697,4.359313078,39.49801849,19.41875826,18.45730028,13.73844122,0,29.1,28.1,31.6
250250002011,985,841,43,0,48,0,29,24,85.38071066,4.365482234,0,4.873096447,0,2.944162437,2.436548223,14.61928934,4.365482234,13.12335958,17.36040609,0,28.7,28.5,28.7
250250002012,306,275,0,0,24,0,0,7,89.86928105,0,0,7.843137255,0,0,2.287581699,10.13071895,0,0,46.40522876,0,35.2,37.9,34.3
250250002013,1348,1136,46,0,71,0,40,55,84.27299703,3.412462908,0,5.267062315,0,2.96735905,4.080118694,15.72700297,9.940652819,15.70576541,31.89910979,3.709198813,28.1,28,28.3
250250002014,645,477,54,0,57,0,37,20,73.95348837,8.372093023,0,8.837209302,0,5.736434109,3.100775194,26.04651163,18.91472868,15.75562701,31.33858268,0,28.2,29.9,27.5
250250002021,1088,982,8,0,98,0,0,0,90.25735294,0.735294118,0,9.007352941,0,0,0,9.742647059,1.286764706,5.251141553,17.09558824,0.643382353,29.6,29.1,33.6
250250002022,841,689,0,0,152,0,0,0,81.92627824,0,0,18.07372176,0,0,0,18.07372176,6.539833532,2.956989247,15.69560048,0.832342449,32.1,29.1,35.4
250250002023,882,523,94,0,243,0,7,15,59.29705215,10.65759637,0,27.55102041,0,0.793650794,1.700680272,40.70294785,7.029478458,28.34394904,9.297052154,0,33.6,39.5,30
250250002024,776,148,263,0,57,0,288,20,19.07216495,33.89175258,0,7.345360825,0,37.11340206,2.577319588,80.92783505,68.94329897,48.14814815,0,0,21.8,21.3,22.2
250250003011,652,487,0,0,137,0,28,0,74.69325153,0,0,21.01226994,0,4.294478528,0,25.30674847,4.294478528,15.3256705,4.212168487,0,35,25.4,47.4
250250003012,826,735,29,0,62,0,0,0,88.98305085,3.510895884,0,7.506053269,0,0,0,11.01694915,0.484261501,11.14864865,9.443099274,1.694915254,35.5,31.5,44.5
250250003013,676,599,0,0,77,0,0,0,88.60946746,0,0,11.39053254,0,0,0,11.39053254,3.106508876,32.03463203,16.27218935,0,25.4,20.6,26.4
250250003014,558,325,21,0,86,0,126,0,58.2437276,3.76344086,0,15.41218638,0,22.58064516,0,41.7562724,31.00358423,14.70588235,8.394160584,0,32.5,28,47.6
250250003021,1135,790,102,0,162,0,61,20,69.60352423,8.986784141,0,14.27312775,0,5.374449339,1.762114537,30.39647577,3.700440529,28.54251012,18.27094474,5.258467023,32.2,29.4,41.9
250250003022,1745,1395,47,0,246,0,30,27,79.94269341,2.693409742,0,14.0974212,0,1.719197708,1.547277937,20.05730659,4.813753582,13.38028169,27.97927461,3.10880829,29.7,30.3,29.3
250250004011,1463,1068,0,0,374,0,9,12,73.00068353,0,0,25.56390977,0,0.615174299,0.820232399,26.99931647,7.928913192,30.26113671,35.86731168,7.256392536,26.7,27.3,25.5
250250004012,799,542,103,0,96,0,17,41,67.83479349,12.89111389,0,12.01501877,0,2.127659574,5.131414268,32.16520651,10.63829787,18.78172589,31.09354414,5.797101449,27.4,29.3,26.3
250250004013,1033,851,19,0,102,0,0,61,82.38141336,1.839303001,0,9.874152953,0,0,5.905130687,17.61858664,5.711519845,21.4673913,18.19941917,0,26.8,33.6,26.3
250250004014,1970,1320,15,0,579,0,11,45,67.00507614,0.76142132,0,29.39086294,0,0.558375635,2.284263959,32.99492386,5.989847716,44.28571429,13.13603323,1.090342679,57.5,48.8,60.3
250250004021,994,733,61,0,173,0,0,27,73.74245473,6.136820926,0,17.40442656,0,0,2.716297787,26.25754527,5.030181087,37.4749499,19.51710262,1.106639839,27.9,32.1,25.4
250250004022,1090,570,0,0,432,0,9,79,52.29357798,0,0,39.63302752,0,0.825688073,7.247706422,47.70642202,10.18348624,14.98637602,17.08253359,1.439539347,28.6,30.3,25.3
250250004023,1092,965,24,0,88,0,0,15,88.36996337,2.197802198,0,8.058608059,0,0,1.373626374,11.63003663,22.06959707,15.2917505,11.42857143,2.949308756,31.3,31.5,30.6
250250005021,805,675,0,9,117,0,0,4,83.85093168,0,1.118012422,14.53416149,0,0,0.49689441,16.14906832,3.354037267,12.08791209,41.61490683,1.614906832,28.7,31.6,26.9
250250005022,784,700,29,0,46,0,9,0,89.28571429,3.698979592,0,5.867346939,0,1.147959184,0,10.71428571,19.77040816,30.98290598,9.948979592,0,34.5,37.9,32.5
250250005023,1366,1097,2,0,231,0,13,23,80.30746706,0.146412884,0,16.91068814,0,0.951683748,1.68374817,19.69253294,2.196193265,39.625,21.92788815,2.207505519,29.9,30.6,27.9
250250005024,3395,2718,129,0,439,0,37,72,80.05891016,3.799705449,0,12.93078056,0,1.089837997,2.120765832,19.94108984,7.982326951,,45.15463918,1.973490427,20.7,20.7,20.6
250250005031,731,546,0,18,51,0,0,116,74.69220246,0,2.462380301,6.976744186,0,0,15.86867305,25.30779754,4.924760602,30.24390244,38.44049248,3.830369357,27.1,27.9,23.8
250250005032,1365,1174,34,0,106,0,22,29,86.00732601,2.490842491,0,7.765567766,0,1.611721612,2.124542125,13.99267399,5.201465201,27.19512195,29.52380952,4.322344322,28.4,28.8,28.2
250250005041,1008,900,11,53,29,0,0,15,89.28571429,1.091269841,5.257936508,2.876984127,0,0,1.488095238,10.71428571,11.40873016,22.5631769,27.08333333,0,29.3,27,31.7
250250005042,1287,889,144,0,182,0,11,61,69.07536908,11.18881119,0,14.14141414,0,0.854700855,4.73970474,30.92463092,6.293706294,32.96158612,11.16389549,6.175771971,30.8,29.9,35.7
250250005043,1062,872,26,0,91,0,28,45,82.10922787,2.448210923,0,8.56873823,0,2.63653484,4.237288136,17.89077213,12.0527307,32.51748252,24.95291902,9.133709981,27.7,30.2,27.3
250250005044,792,653,21,13,73,0,0,32,82.44949495,2.651515152,1.641414141,9.217171717,0,0,4.04040404,17.55050505,0,37.24604966,20.83333333,0,35.1,35.8,27.6
250250006011,740,575,5,0,123,0,0,37,77.7027027,0.675675676,0,16.62162162,0,0,5,22.2972973,7.027027027,16.78832117,21.20383037,0,29,28.6,43.9
250250006012,1117,673,32,0,371,0,41,0,60.25067144,2.864816473,0,33.21396598,0,3.670546106,0,39.74932856,9.310653536,15.88235294,26.69104205,0,28.3,29.7,27.9
250250006013,561,475,20,11,55,0,0,0,84.67023173,3.565062389,1.960784314,9.803921569,0,0,0,15.32976827,6.951871658,17.3553719,17.64705882,1.247771836,28.3,27.9,28.7
250250006014,876,604,26,0,140,0,96,10,68.94977169,2.96803653,0,15.98173516,0,10.95890411,1.141552511,31.05022831,14.9543379,18.32061069,10.38812785,0,28.2,26.1,29.1
250250006021,1464,978,135,0,240,0,7,104,66.80327869,9.221311475,0,16.39344262,0,0.478142077,7.103825137,33.19672131,7.103825137,25.71428571,21.37978142,2.663934426,27.1,26.3,27.9
250250006022,886,653,49,12,142,0,0,30,73.7020316,5.530474041,1.354401806,16.02708804,0,0,3.386004515,26.2979684,8.465011287,25.64102564,30.248307,3.16027088,27.7,29.1,27.2
250250006023,1177,514,275,0,156,0,228,4,43.67034834,23.36448598,0,13.25403568,0,19.37128292,0.339847069,56.32965166,33.72982158,56.93548387,13.08411215,0,28.8,29.9,28.2
250250007011,866,484,120,10,157,0,18,77,55.8891455,13.85681293,1.154734411,18.12933025,0,2.07852194,8.891454965,44.1108545,8.660508083,23.25056433,27.13625866,2.424942263,29,30.3,25.7
